City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Rio Grande,BR,2021-10-20 14:24:08,-32.035,-52.0986,69.91,54,75,10.85
203,Saint-Georges,GD,2021-10-20 14:24:34,12.0564,-61.7485,87.48,70,20,16.11
204,Gwadar,PK,2021-10-20 14:24:34,25.1216,62.3254,80.69,72,0,8.79
205,Camocim,BR,2021-10-20 14:24:35,-2.9022,-40.8411,86.67,58,85,8.75
206,Manta,EC,2021-10-20 14:24:35,-0.95,-80.7333,74.98,83,90,6.91
207,Ankpa,NG,2021-10-20 14:24:35,7.3706,7.6253,82.09,69,86,4.16
208,Yuzhno-Sukhokumsk,RU,2021-10-20 14:24:36,44.6581,45.6436,50.99,34,86,16.4
209,Mbandaka,CD,2021-10-20 14:24:36,0.0487,18.2603,78.93,70,84,6.46
210,Beringovskiy,RU,2021-10-20 14:24:36,63.05,179.3167,18.54,81,69,12.06
211,Ilulissat,GL,2021-10-20 14:24:37,69.2167,-51.1,35.62,35,75,8.05
212,Cidreira,BR,2021-10-20 14:22:04,-30.1811,-50.2056,65.64,62,76,13.09
213,Erzin,TR,2021-10-20 14:24:37,36.9559,36.2,81.12,36,0,4.03
214,Mahebourg,MU,2021-10-20 14:24:37,-20.4081,57.7,75.49,73,40,10.36
215,Strezhevoy,RU,2021-10-20 14:24:38,60.7333,77.5889,44.58,73,100,8.43
216,Dmitriyevka,RU,2021-10-20 14:24:38,54.75,55.3333,36.95,68,100,14.07
217,Half Moon Bay,US,2021-10-20 14:24:38,37.4636,-122.4286,61.2,85,90,9.22
218,Sompeta,IN,2021-10-20 14:24:39,18.9333,84.6,81.12,84,100,3.78
219,Isangel,VU,2021-10-20 14:24:39,-19.55,169.2667,74.89,90,100,9.78
220,Raudeberg,NO,2021-10-20 14:24:39,61.9875,5.1352,49.6,97,100,1.99
221,Pangnirtung,CA,2021-10-20 14:24:39,66.1451,-65.7125,32.0,86,75,0.0
222,Severo-Kurilsk,RU,2021-10-20 14:24:40,50.6789,156.125,35.74,68,68,22.59
223,Vigrestad,NO,2021-10-20 14:24:40,58.5667,5.7,53.58,75,100,19.84
224,Mar Del Plata,AR,2021-10-20 14:24:37,-38.0023,-57.5575,68.02,1,20,14.0
225,Bikin,RU,2021-10-20 14:24:40,46.8161,134.26,26.46,67,98,1.54
226,Ostrovnoy,RU,2021-10-20 14:21:15,68.0531,39.5131,29.23,77,100,6.85
227,Swift Current,CA,2021-10-20 14:24:41,50.2834,-107.8014,22.01,93,1,11.5
228,Kidal,ML,2021-10-20 14:24:41,18.4411,1.4078,98.42,9,32,8.77
229,Orumiyeh,IR,2021-10-20 14:24:41,37.5527,45.0761,58.55,41,20,6.91
230,Kholtoson,RU,2021-10-20 14:24:42,50.2981,103.3097,29.07,68,1,2.73
231,Sakakah,SA,2021-10-20 14:22:47,29.9697,40.2064,83.77,25,1,7.7
232,Colares,PT,2021-10-20 14:24:42,38.7992,-9.4469,79.79,72,75,1.99
233,Staryy Nadym,RU,2021-10-20 14:21:23,65.6118,72.6842,32.41,82,20,13.0
234,Prince Rupert,CA,2021-10-20 14:24:43,54.3161,-130.3201,53.69,50,90,3.44
235,Druten,NL,2021-10-20 14:24:43,51.8833,5.6,64.98,84,100,1.01
236,Yako,BF,2021-10-20 14:24:43,12.9667,-2.2667,94.82,35,60,3.15
237,Gamba,GA,2021-10-20 14:24:43,-2.65,10.0,78.31,77,96,9.08
238,Cabo San Lucas,MX,2021-10-20 14:23:10,22.8909,-109.9124,73.94,76,33,8.1
239,Neuquen,AR,2021-10-20 14:24:44,-38.9516,-68.0591,73.29,46,0,2.3
