,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
290,Mindelo,CV,16.8901,-24.9804,83.75,54,20,27.63,few clouds
291,Malakal,SS,9.5334,31.6605,90.09,38,61,4.5,broken clouds
292,Kidal,ML,18.4411,1.4078,100.63,13,82,11.34,broken clouds
293,Port Macquarie,AU,-31.4333,152.9167,65.89,100,21,5.75,few clouds
294,Flinders,AU,-34.5833,150.8552,67.17,89,72,5.01,light rain
295,Zheleznodorozhnyy,RU,55.7503,38.0042,45.36,71,34,11.03,scattered clouds
296,Ginda,IN,30.6945,78.4932,51.85,83,0,6.49,clear sky
297,Kismayo,SO,-0.3582,42.5454,79.23,73,15,11.05,few clouds
298,Bonavista,CA,48.6499,-53.1147,57.2,97,100,11.97,light rain
299,Kangaatsiaq,GL,68.3065,-53.4641,29.8,89,100,11.36,light snow
300,Leoben,AT,47.3461,15.1257,46.9,67,21,1.92,few clouds
301,Linqiong,CN,30.4159,103.4609,61.79,83,100,2.06,overcast clouds
302,Sitka,US,57.0531,-135.33,48.09,71,90,13.8,light rain
303,Pacific Grove,US,36.6177,-121.9166,54.0,89,1,1.01,clear sky
304,Manokwari,ID,-0.8667,134.0833,79.03,80,18,3.96,few clouds
305,Gillette,US,44.2911,-105.5022,52.72,53,1,8.01,clear sky
306,Burgos,ES,42.3394,-3.7079,59.41,31,0,4.61,clear sky
307,Aksarka,RU,66.5606,67.7975,29.93,97,97,7.67,overcast clouds
308,Santa Cruz,BO,-17.8,-63.1667,89.65,55,40,27.63,smoke
309,Sukumo,JP,32.9333,132.7333,53.46,69,10,4.18,clear sky
310,Craigieburn,AU,-37.6,144.95,52.11,89,40,11.5,scattered clouds
311,Banda Aceh,ID,5.5577,95.3222,80.2,80,96,3.18,light rain
312,Kleive,NO,62.7954,7.6359,43.12,87,75,6.91,broken clouds
313,Fort Portal,UG,0.6617,30.2748,67.26,85,100,1.25,light rain
314,Tunceli,TR,39.1083,39.5471,63.46,24,0,2.8,clear sky
315,Kankaanpaa,FI,61.8,22.4167,34.56,89,20,5.39,few clouds
316,Youkounkoun,GN,12.5333,-13.1333,89.19,53,99,1.83,overcast clouds
317,La Rioja,ES,42.25,-2.5,63.05,34,0,5.57,clear sky
318,Doka,SD,13.5167,35.7667,87.76,36,76,4.25,broken clouds
319,Ahipara,NZ,-35.1667,173.1667,60.87,98,100,3.38,light rain
320,Arlit,NE,18.7369,7.3853,101.19,9,25,2.35,scattered clouds
321,Gazojak,TM,41.1875,61.4036,55.02,27,0,10.89,clear sky
322,Khilok,RU,51.3674,110.4676,32.31,64,8,3.96,clear sky
323,Kolokani,ML,13.5728,-8.0339,87.26,51,90,7.52,overcast clouds
324,Kindu,CD,-2.95,25.95,83.3,63,81,1.9,broken clouds
325,Gurupa,BR,-1.405,-51.64,93.16,45,44,4.38,scattered clouds
326,San Rafael Del Sur,NI,11.8485,-86.4384,85.17,75,100,3.13,overcast clouds
327,Asosa,ET,10.0667,34.5333,68.63,74,12,5.03,few clouds
328,Karaton,ID,-6.3424,106.1045,78.96,89,70,1.92,broken clouds
329,Lubu,CN,23.1742,112.2809,60.57,81,29,2.93,scattered clouds
330,Zyryanka,RU,65.75,150.85,-8.79,98,66,1.59,broken clouds
331,Bauchi,NG,10.5,10.0,87.64,47,68,7.14,broken clouds
332,Saint-Joseph,RE,-21.3667,55.6167,76.48,84,62,4.92,broken clouds
333,Taltal,CL,-25.4,-70.4833,61.0,67,2,7.0,clear sky
334,Bengkulu,ID,-3.8004,102.2655,77.02,89,77,3.91,broken clouds
335,Sinnamary,GF,5.3833,-52.95,82.42,83,98,8.79,overcast clouds
336,Nambucca Heads,AU,-30.65,153.0,70.16,91,5,2.91,clear sky
337,Kochki,RU,54.3358,80.4806,45.28,69,100,20.67,overcast clouds
338,Taoudenni,ML,22.6783,-3.9836,93.34,15,0,3.85,clear sky
339,Longyearbyen,SJ,78.2186,15.6401,19.24,86,20,4.61,few clouds
340,Abha,SA,18.2164,42.5053,71.85,13,0,5.75,clear sky
341,Mbandaka,CD,0.0487,18.2603,78.15,89,66,2.59,moderate rain
342,Maryville,US,35.7565,-83.9705,62.19,73,20,1.01,few clouds
343,Opuwo,NA,-18.0607,13.84,92.32,9,3,12.08,clear sky
344,Laguna,US,38.421,-121.4238,56.26,93,1,1.01,clear sky
345,Shimoda,JP,34.6667,138.95,53.1,66,84,13.82,broken clouds
346,Baruun-Urt,MN,46.6806,113.2792,37.09,41,99,8.32,overcast clouds
347,Umtata,ZA,-31.5889,28.7844,63.16,59,40,12.66,scattered clouds
348,Maniitsoq,GL,65.4167,-52.9,24.82,53,51,8.61,broken clouds
